annee;libelle;code_commune;nb_benef_rsa
2012;Abbaretz;44001;41
2010;Aigrefeuille-sur-Maine;44002;31
2012;Aigrefeuille-sur-Maine;44002;33
2013;Aigrefeuille-sur-Maine;44002;33
2014;Aigrefeuille-sur-Maine;44002;35
2014;Ancenis;44003;264
2012;Avessac;44007;47
2013;Barbechat;44008;9
2013;Basse-Goulaine;44009;93
2014;Basse-Goulaine;44009;98
2012;Batz-sur-Mer;44010;64
2012;Belligné;44011;21
2015;Blain;44015;230
2012;Blain;44015;180
2013;Bonnoeuvre;44017;15
2015;Bouaye;44018;103
2015;Bouée;44019;14
2010;Bourgneuf-en-Retz;44021;57
2014;Bourgneuf-en-Retz;44021;70
2012;Boussay;44022;19
2014;Brains;44024;21
2014;Campbon;44025;34
2015;Campbon;44025;31
2012;Carquefou;44026;163
2010;Casson;44027;18
2010;Châteaubriant;44036;384
2014;Châteaubriant;44036;505
2010;Chauvé;44038;23
2012;Clisson;44043;96
2010;Corcoué-sur-Logne;44156;28
2015;Corsept;44046;30
2015;Couëron;44047;436
2011;Derval;44051;50
2012;Derval;44051;54
2013;Donges;44052;159
2014;Fay-de-Bretagne;44056;51
2011;Fresnay-en-Retz;44059;10
2013;Fresnay-en-Retz;44059;17
2015;Frossay;44061;49
2010;Geneston;44223;20
2012;Geneston;44223;30
2014;Gétigné;44063;44
2013;Gorges;44064;45
2010;Grandchamps-des-Fontaines;44066;43
2015;Guémené-Penfao;44067;192
2011;Guémené-Penfao;44067;160
2012;Guenrouet;44068;44
2013;Guérande;44069;296
2011;Héric;44073;50
2010;Indre;44074;75
2012;Indre;44074;89
2011;Jans;44076;19
2014;Joué-sur-Erdre;44077;41
2014;Juigné-des-Moutiers;44078;7
2010;Juigné-des-Moutiers;44078;8
2011;Juigné-des-Moutiers;44078;7
2013;La Boissière-du-Doré;44016;8
2015;La Chapelle-Basse-Mer;44029;79
2012;La Chapelle-Basse-Mer;44029;50
2014;La Chapelle-des-Marais;44030;64
2010;La Chapelle-Glain;44031;15
2014;La Chapelle-Saint-Sauveur;44034;21
2010;La Chapelle-sur-Erdre;44035;166
2015;La Chevallerais;44221;11
2013;La Chevrolière;44041;47
2010;La Grigonnais;44224;19
2013;La Marne;44090;10
2015;La Meilleraye-de-Bretagne;44095;31
2014;La Plaine-sur-Mer;44126;73
2012;La Regrippière;44140;11
2013;La Rouxière;44147;16
2014;La Turballe;44211;98
2015;La Turballe;44211;115
2014;Lavau-sur-Loire;44080;15
2012;Le Cellier;44028;43
2013;Le Cellier;44028;47
2014;Le Croisic;44049;87
2015;Le Croisic;44049;83
2010;Le Gâvre;44062;28
2014;Le Landreau;44079;31
2015;Le Loroux-Bottereau;44084;139
2014;Le Pin;44124;17
2010;Le Pin;44124;19
2010;Le Temple-de-Bretagne;44203;10
2014;Legé;44081;94
2014;Les Sorinières;44198;122
2013;Les Sorinières;44198;107
2015;Les Touches;44205;50
2010;Les Touches;44205;11
2012;Les Touches;44205;24
2010;Malville;44089;27
2015;Marsac-sur-Don;44091;25
2012;Marsac-sur-Don;44091;20
2012;Massérac;44092;20
2010;Maumusson;44093;12
2015;Mauves-sur-Loire;44094;41
2011;Mauves-sur-Loire;44094;22
2014;Mésanger;44096;53
2010;Mésanger;44096;34
2012;Mésanger;44096;39
2015;Moisdon-la-Rivière;44099;56
2011;Moisdon-la-Rivière;44099;43
2013;Moisdon-la-Rivière;44099;44
2013;Montbert;44102;34
2010;Montrelais;44104;10
2015;Mouais;44105;9
2011;Mouais;44105;12
2010;Mouzillon;44108;19
2014;Notre-Dame-des-Landes;44111;25
2014;Orvault;44114;646
2012;Orvault;44114;502
2013;Orvault;44114;562
2014;Paimboeuf;44116;138
2012;Paimboeuf;44116;137
2013;Paimboeuf;44116;139
2013;Petit-Auverné;44121;13
2010;Pierric;44123;18
2012;Pont-Saint-Martin;44130;56
2015;Pontchâteau;44129;233
2010;Pornic;44131;273
2011;Pornic;44131;253
2014;Port-Saint-Père;44133;37
2011;Port-Saint-Père;44133;27
2013;Port-Saint-Père;44133;38
2010;Quilly;44139;16
2011;Quilly;44139;20
2014;Remouillé;44142;17
2014;Rezé;44143;1493
2015;Riaillé;44144;56
2012;Riaillé;44144;41
2011;Rouans;44145;31
2012;Rouans;44145;24
2015;Ruffigné;44148;22
2011;Saffré;44149;49
2012;Saffré;44149;50
2012;Saint-Aubin-des-Châteaux;44153;31
2010;Saint-Étienne-de-Montluc;44158;63
2011;Saint-Étienne-de-Montluc;44158;58
2010;Saint-Géréon;44160;22
2011;Saint-Gildas-des-Bois;44161;56
2012;Saint-Gildas-des-Bois;44161;57
2013;Saint-Gildas-des-Bois;44161;77
2013;Saint-Herblon;44163;16
2015;Saint-Hilaire-de-Chaléons;44164;27
2013;Saint-Hilaire-de-Chaléons;44164;36
2014;Saint-Hilaire-de-Clisson;44165;15
2010;Saint-Hilaire-de-Clisson;44165;10
2012;Saint-Joachim;44168;66
2013;Saint-Julien-de-Concelles;44169;73
2012;Saint-Julien-de-Vouvantes;44170;14
2015;Saint-Lumine-de-Clisson;44173;35
2012;Saint-Lumine-de-Clisson;44173;23
2010;Saint-Lyphard;44175;36
2012;Saint-Lyphard;44175;49
2014;Saint-Malo-de-Guersac;44176;34
2015;Saint-Malo-de-Guersac;44176;38
2010;Saint-Malo-de-Guersac;44176;33
2013;Saint-Mars-de-Coutais;44178;33
2013;Saint-Mars-la-Jaille;44180;52
2014;Saint-Même-le-Tenu;44181;13
2011;Saint-Même-le-Tenu;44181;11
2012;Saint-Michel-Chef-Chef;44182;82
2015;Saint-Molf;44183;36
2012;Saint-Nazaire;44184;3047
2011;Saint-Sulpice-des-Landes;44191;8
2011;Saint-Viaud;44192;28
2015;Saint-Vincent-des-Landes;44193;41
2010;Sévérac;44196;32
2011;Sion-les-Mines;44197;58
2012;Soulvache;44200;16
2015;Sucé-sur-Erdre;44201;92
2010;Teillé;44202;21
2012;Teillé;44202;22
2015;Thouaré-sur-Loire;44204;155
2015;Touvois;44206;33
2012;Vallet;44212;111
2010;Vertou;44215;228
2013;Vigneux-de-Bretagne;44217;55
2015;Villepot;44218;8
2011;Vritz;44219;11
2016;Avessac;44007;45
2016;Basse-Goulaine;44009;56
2016;Bouaye;44018;79
2016;Bouvron;44023;20
2016;Casson;44027;10
2016;Fay-de-Bretagne;44056;32
2016;Geneston;44223;18
2016;Gétigné;44063;20
2016;Héric;44073;51
2016;Issé;44075;40
2016;La Chapelle-Basse-Mer;44029;42
2016;La Planche;44127;16
2016;La Regrippière;44140;8
2016;La Remaudière;44141;5
2016;La Rouxière;44147;12
2016;Le Cellier;44028;39
2016;Le Fresne-sur-Loire;44060;0
2016;Le Pellerin;44120;70
2016;Ligné;44082;25
2016;Montrelais;44104;15
2016;Mouzillon;44108;16
2016;Pont-Saint-Martin;44130;56
2016;Rezé;44143;1239
2016;Saffré;44149;36
2016;Saint-Étienne-de-Mer-Morte;44157;19
2016;Saint-Lumine-de-Clisson;44173;18
2016;Saint-Lyphard;44175;22
2016;Saint-Mars-du-Désert;44179;29
2016;Saint-Mars-la-Jaille;44180;35
2016;Trans-sur-Erdre;44207;7
2016;Vallet;44212;78
2017;Blain;44015;174
2017;Cordemais;44045;17
2017;Couëron;44047;283
2017;Erbray;44054;35
2017;Frossay;44061;24
2017;Grandchamps-des-Fontaines;44066;27
2017;Haute-Goulaine;44071;33
2017;La Chevrolière;44041;38
2017;La Grigonnais;44224;19
2017;La Marne;44090;13
2017;La Planche;44127;16
2017;La Turballe;44211;77
2017;Les Sorinières;44198;81
2017;Lusanger;44086;22
2017;Petit-Auverné;44121;12
2017;Pont-Saint-Martin;44130;56
2017;Port-Saint-Père;44133;25
2017;Rouans;44145;12
2017;Saint-Aignan-Grandlieu;44150;30
2017;Sainte-Reine-de-Bretagne;44189;17
2017;Saint-Mars-du-Désert;44179;22
2017;Sion-les-Mines;44197;37
2017;Soudan;44199;40
2017;Thouaré-sur-Loire;44204;106
2017;Treffieux;44208;26
2018;Besné;44013;26
2018;Le Bignon;44014;22
2018;Bouée;44019;12
2018;Bouguenais;44020;846
2018;Boussay;44022;18
2018;Corsept;44046;20
2018;Couffé;44048;12
2018;Le Croisic;44049;66
2018;Crossac;44050;22
2018;Gorges;44064;32
2018;Machecoul-Saint-Même;44087;128
2018;Montbert;44102;13
2018;Paimboeuf;44116;98
2018;Petit-Mars;44122;19
2018;Plessé;44128;66
2018;Prinquiau;44137;8
2018;Sainte-Luce-sur-Loire;44172;220
2018;Treffieux;44208;18
2018;Loireauxence;44213;97
2018;Vieillevigne;44216;27
2018;La Roche-Blanche;44222;7
2018;Geneston;44223;14
2019;Chaumes-en-Retz;44005;61
2019;Assérac;44006;25
2019;La Bernerie-en-Retz;44012;40
2019;Le Bignon;44014;23
2019;Bouée;44019;10
2019;Boussay;44022;17
2019;Couëron;44047;305
2019;Crossac;44050;13
2019;Frossay;44061;29
2019;Gorges;44064;27
2019;Guémené-Penfao;44067;120
2019;Guérande;44069;217
2019;Marsac-sur-Don;44091;13
2019;Mesquer;44097;30
2019;Petit-Auverné;44121;8
2019;Pouillé-les-Côteaux;44134;9
2019;Ruffigné;44148;17
2019;Saffré;44149;41
2019;Saint-Aignan-Grandlieu;44150;21
2019;Saint-Gildas-des-Bois;44161;31
2019;Vair-sur-Loire;44163;31
2019;Saint-Hilaire-de-Chaléons;44164;15
2019;Saint-Père-en-Retz;44187;37
2019;Les Sorinières;44198;93
2019;Les Touches;44205;15
2019;Vigneux-de-Bretagne;44217;28
2010;La Turballe;44211;71
2011;Lavau-sur-Loire;44080;8
2013;Lavau-sur-Loire;44080;13
2011;Le Cellier;44028;41
2010;Le Fresne-sur-Loire;44060;13
2014;Le Gâvre;44062;37
2011;Le Landreau;44079;21
2012;Le Loroux-Bottereau;44084;104
2014;Le Pallet;44117;47
2010;Le Pallet;44117;28
2014;Le Pellerin;44120;99
2012;Le Pouliguen;44135;130
2015;Le Temple-de-Bretagne;44203;16
2013;Le Temple-de-Bretagne;44203;15
2015;Legé;44081;101
2014;Les Touches;44205;52
2015;Louisfert;44085;17
2014;Maisdon-sur-Sèvre;44088;31
2015;Malville;44089;48
2010;Marsac-sur-Don;44091;24
2010;Massérac;44092;15
2011;Massérac;44092;17
2012;Mauves-sur-Loire;44094;26
2010;Monnières;44100;15
2011;Montbert;44102;19
2013;Montoir-de-Bretagne;44103;228
2014;Montrelais;44104;16
2013;Montrelais;44104;11
2012;Mouzillon;44108;18
2013;Mouzillon;44108;30
2012;Nort-sur-Erdre;44110;110
2015;Noyal-sur-Brutz;44112;11
2014;Nozay;44113;102
2011;Orvault;44114;494
2015;Oudon;44115;54
2011;Oudon;44115;38
2013;Pannecé;44118;13
2013;Petit-Mars;44122;32
2014;Pierric;44123;14
2013;Pierric;44123;17
2011;Piriac-sur-Mer;44125;28
2012;Piriac-sur-Mer;44125;39
2011;Plessé;44128;93
2012;Pornic;44131;253
2015;Pornichet;44132;249
2011;Pornichet;44132;213
2012;Pouillé-les-Côteaux;44134;8
2013;Pouillé-les-Côteaux;44134;8
2015;Prinquiau;44137;29
2012;Prinquiau;44137;15
2012;Puceul;44138;10
2014;Quilly;44139;19
2010;Riaillé;44144;27
2011;Riaillé;44144;35
2013;Riaillé;44144;43
2011;Rougé;44146;34
2014;Ruffigné;44148;25
2015;Saffré;44149;61
2011;Saint-Aignan-Grandlieu;44150;32
2012;Saint-Aignan-Grandlieu;44150;35
2013;Saint-André-des-Eaux;44151;48
2014;Saint-Aubin-des-Châteaux;44153;36
2011;Saint-Brevin-les-Pins;44154;203
2011;Saint-Colomban;44155;35
2014;Saint-Étienne-de-Mer-Morte;44157;40
2013;Saint-Étienne-de-Mer-Morte;44157;23
2010;Saint-Fiacre-sur-Maine;44159;8
2011;Saint-Fiacre-sur-Maine;44159;8
2011;Saint-Géréon;44160;19
2010;Saint-Herblain;44162;1484
2013;Saint-Hilaire-de-Clisson;44165;18
2013;Saint-Julien-de-Vouvantes;44170;12
2011;Saint-Léger-les-Vignes;44171;7
2013;Saint-Léger-les-Vignes;44171;18
2014;Saint-Lumine-de-Coutais;44174;27
2013;Saint-Lyphard;44175;44
2012;Saint-Malo-de-Guersac;44176;34
2010;Saint-Mars-de-Coutais;44178;28
2012;Saint-Mars-de-Coutais;44178;26
2010;Saint-Mars-du-Désert;44179;30
2010;Saint-Mars-la-Jaille;44180;53
2012;Saint-Même-le-Tenu;44181;14
2011;Saint-Michel-Chef-Chef;44182;68
2013;Saint-Michel-Chef-Chef;44182;82
2013;Saint-Molf;44183;30
2010;Saint-Philbert-de-Grand-Lieu;44188;85
2012;Saint-Philbert-de-Grand-Lieu;44188;104
2013;Sainte-Luce-sur-Loire;44172;223
2010;Sainte-Pazanne;44186;81
2010;Sainte-Reine-de-Bretagne;44189;21
2011;Sainte-Reine-de-Bretagne;44189;21
2012;Sainte-Reine-de-Bretagne;44189;29
2010;Sautron;44194;49
2013;Sautron;44194;86
2012;Sion-les-Mines;44197;49
2010;Soudan;44199;44
2014;Sucé-sur-Erdre;44201;79
2012;Sucé-sur-Erdre;44201;56
2013;Sucé-sur-Erdre;44201;59
2010;Thouaré-sur-Loire;44204;70
2013;Thouaré-sur-Loire;44204;124
2015;Trignac;44210;302
2010;Varades;44213;50
2013;Varades;44213;65
2010;Vay;44214;23
2013;Vay;44214;25
2013;Villepot;44218;8
2011;Vue;44220;16
2010;Abbaretz;44001;39
2013;Abbaretz;44001;38
2015;Ancenis;44003;278
2013;Avessac;44007;60
2010;Basse-Goulaine;44009;74
2013;Batz-sur-Mer;44010;63
2010;Belligné;44011;18
2014;Belligné;44011;37
2010;Besné;44013;27
2013;Bouaye;44018;70
2011;Bouguenais;44020;467
2014;Boussay;44022;18
2015;Boussay;44022;28
2011;Boussay;44022;20
2011;Brains;44024;21
2015;Carquefou;44026;228
2011;Chéméré;44040;26
2011;Clisson;44043;91
2012;Conquereuil;44044;31
2010;Cordemais;44045;28
2015;Cordemais;44045;29
2011;Couffé;44048;20
2012;Couffé;44048;15
2015;Crossac;44050;31
2011;Crossac;44050;18
2014;Drefféac;44053;37
2012;Drefféac;44053;31
2013;Fercé;44058;6
2012;Frossay;44061;36
2014;Geneston;44223;37
2015;Gorges;44064;57
2014;Grandchamps-des-Fontaines;44066;63
2010;Guérande;44069;265
2010;Haute-Goulaine;44071;34
2014;Herbignac;44072;113
2014;Indre;44074;103
2010;Issé;44075;43
2010;Jans;44076;14
2013;Joué-sur-Erdre;44077;39
2014;La Baule-Escoublac;44055;393
2012;La Baule-Escoublac;44055;335
2015;La Bernerie-en-Retz;44012;62
2013;La Bernerie-en-Retz;44012;59
2014;La Bernerie-en-Retz;44012;63
2014;La Boissière-du-Doré;44016;8
2011;La Boissière-du-Doré;44016;5
2014;La Chapelle-Heulin;44032;33
2010;La Chapelle-Launay;44033;23
2014;La Chapelle-Launay;44033;24
2012;La Chapelle-Launay;44033;15
2011;La Chapelle-Saint-Sauveur;44034;22
2011;La Chevallerais;44221;9
2012;La Haie-Fouassière;44070;42
2013;La Limouzinière;44083;29
2010;La Montagne;44101;87
2014;La Regrippière;44140;19
2013;La Regrippière;44140;19
2015;La Remaudière;44141;17
2016;Blain;44015;171
2016;Bouée;44019;10
2016;Bouguenais;44020;774
2016;Cordemais;44045;15
2016;Couëron;44047;276
2016;Drefféac;44053;23
2016;Frossay;44061;21
2016;Guenrouet;44068;59
2016;Jans;44076;13
2016;La Baule-Escoublac;44055;285
2016;La Grigonnais;44224;16
2016;La Limouzinière;44083;25
2016;La Marne;44090;7
2016;La Turballe;44211;75
2016;Le Landreau;44079;14
2016;Louisfert;44085;8
2016;Mauves-sur-Loire;44094;25
2016;Nort-sur-Erdre;44110;85
2016;Oudon;44115;31
2016;Pannecé;44118;13
2016;Petit-Mars;44122;17
2016;Pornic;44131;221
2016;Pornichet;44132;184
2016;Puceul;44138;7
2016;Quilly;44139;18
2016;Saint-Aignan-Grandlieu;44150;26
2016;Saint-Aubin-des-Châteaux;44153;28
2016;Sainte-Pazanne;44186;37
2016;Sainte-Reine-de-Bretagne;44189;23
2016;Saint-Malo-de-Guersac;44176;21
2016;Saint-Philbert-de-Grand-Lieu;44188;76
2016;Saint-Vincent-des-Landes;44193;30
2016;Thouaré-sur-Loire;44204;84
2016;Varades;44213;62
2017;Basse-Goulaine;44009;73
2017;Bouvron;44023;17
2017;Divatte-sur-Loire;44029;47
2017;Héric;44073;53
2017;Juigné-des-Moutiers;44078;9
2017;La Baule-Escoublac;44055;301
2017;La Meilleraye-de-Bretagne;44095;14
2017;La Montagne;44101;102
2017;Lavau-sur-Loire;44080;8
2017;Le Pellerin;44120;75
2017;Le Pouliguen;44135;108
2017;Les Touches;44205;32
2017;Maisdon-sur-Sèvre;44088;7
2017;Maumusson;44093;24
2017;Mesquer;44097;38
2017;Montrelais;44104;0
2017;Noyal-sur-Brutz;44112;6
2017;Sainte-Anne-sur-Brivet;44152;14
2017;Saint-Joachim;44168;55
2017;Saint-Julien-de-Vouvantes;44170;22
2017;Saint-Nazaire;44184;2710
2017;Saint-Sulpice-des-Landes;44191;0
2017;Savenay;44195;76
2017;Sucé-sur-Erdre;44201;50
2017;Teillé;44202;15
2017;Vair-sur-Loire;44163;29
2011;Ancenis;44003;189
2012;Ancenis;44003;215
2012;Anetz;44004;18
2014;Anetz;44004;22
2015;Arthon-en-Retz;44005;104
2011;Arthon-en-Retz;44005;30
2010;Assérac;44006;30
2015;Assérac;44006;39
2015;Avessac;44007;65
2011;Barbechat;44008;10
2010;Batz-sur-Mer;44010;65
2010;Bonnoeuvre;44017;7
2014;Bonnoeuvre;44017;16
2012;Bonnoeuvre;44017;9
2010;Boussay;44022;18
2012;Campbon;44025;31
2014;Casson;44027;25
2013;Casson;44027;20
2015;Châteaubriant;44036;531
2014;Chéméré;44040;38
2010;Conquereuil;44044;36
2011;Corcoué-sur-Logne;44156;25
2012;Corcoué-sur-Logne;44156;30
2010;Couëron;44047;281
2013;Couffé;44048;26
2014;Derval;44051;78
2012;Donges;44052;161
2015;Drefféac;44053;40
2013;Drefféac;44053;28
2013;Fay-de-Bretagne;44056;41
2015;Fégréac;44057;53
2013;Gétigné;44063;44
2011;Gorges;44064;37
2012;Grand-Auverné;44065;18
2013;Grandchamps-des-Fontaines;44066;48
2012;Guémené-Penfao;44067;167
2010;Guenrouet;44068;56
2013;Guenrouet;44068;59
2015;Guérande;44069;362
2011;Haute-Goulaine;44071;38
2013;Haute-Goulaine;44071;41
2015;Herbignac;44072;119
2011;Herbignac;44072;68
2011;Indre;44074;78
2015;Issé;44075;53
2011;Issé;44075;33
2012;Issé;44075;37
2013;Issé;44075;32
2014;Jans;44076;27
2015;Juigné-des-Moutiers;44078;10
2015;La Baule-Escoublac;44055;398
2015;La Chapelle-Glain;44031;18
2010;La Chapelle-Heulin;44032;29
2015;La Chapelle-Heulin;44032;27
2015;La Chapelle-Launay;44033;24
2010;La Chapelle-Saint-Sauveur;44034;21
2010;La Chevrolière;44041;50
2015;La Chevrolière;44041;55
2012;La Chevrolière;44041;48
2011;La Limouzinière;44083;23
2014;La Montagne;44101;130
2012;La Planche;44127;28
2013;La Planche;44127;34
2015;La Regrippière;44140;13
2012;La Remaudière;44141;11
2010;La Rouxière;44147;21
2011;La Rouxière;44147;14
2011;Le Bignon;44014;32
2013;Le Bignon;44014;38
2015;Le Cellier;44028;50
2010;Le Croisic;44049;63
2013;Le Croisic;44049;91
2011;Le Gâvre;44062;23
2011;Le Pallet;44117;24
2011;Le Pin;44124;18
2011;Le Pouliguen;44135;104
2011;Legé;44081;61
2012;Legé;44081;56
2014;Les Moutiers-en-Retz;44106;22
2015;Les Moutiers-en-Retz;44106;34
2012;Les Moutiers-en-Retz;44106;30
2014;Ligné;44082;54
2013;Ligné;44082;42
2015;Maisdon-sur-Sèvre;44088;35
2013;Maisdon-sur-Sèvre;44088;31
2012;Malville;44089;25
2011;Marsac-sur-Don;44091;29
2013;Massérac;44092;24
2014;Maumusson;44093;12
2011;Maumusson;44093;12
2012;Maumusson;44093;17
2012;Mesquer;44097;28
2015;Missillac;44098;87
2013;Monnières;44100;19
2014;Montbert;44102;33
2014;Montoir-de-Bretagne;44103;237
2014;Mouais;44105;9
2012;Mouais;44105;10
2012;Noyal-sur-Brutz;44112;5
2012;Oudon;44115;35
2015;Paulx;44119;33
2010;Petit-Mars;44122;20
2011;Petit-Mars;44122;22
2012;Petit-Mars;44122;27
2015;Pierric;44123;22
2013;Plessé;44128;108
2011;Pontchâteau;44129;157
2015;Pornic;44131;349
2010;Pornichet;44132;206
2012;Port-Saint-Père;44133;25
2010;Pouillé-les-Côteaux;44134;6
2015;Préfailles;44136;45
2010;Préfailles;44136;35
2012;Préfailles;44136;29
2013;Quilly;44139;30
2010;Remouillé;44142;8
2011;Remouillé;44142;9
2012;Rezé;44143;1288
2015;Rouans;44145;25
2012;Rougé;44146;36
2013;Rougé;44146;37
2011;Ruffigné;44148;26
2012;Ruffigné;44148;18
2010;Saint-Aignan-Grandlieu;44150;36
2011;Saint-André-des-Eaux;44151;43
2015;Saint-Aubin-des-Châteaux;44153;51
2015;Saint-Brevin-les-Pins;44154;255
2013;Saint-Brevin-les-Pins;44154;223
2011;Saint-Étienne-de-Mer-Morte;44157;28
2013;Saint-Étienne-de-Montluc;44158;57
2014;Saint-Géréon;44160;22
2013;Saint-Géréon;44160;20
2014;Saint-Gildas-des-Bois;44161;66
2015;Saint-Hilaire-de-Clisson;44165;21
2010;Saint-Léger-les-Vignes;44171;9
2014;Saint-Lumine-de-Clisson;44173;32
2014;Saint-Mars-du-Désert;44179;40
2014;Saint-Mars-la-Jaille;44180;57
2010;Saint-Même-le-Tenu;44181;8
2013;Saint-Même-le-Tenu;44181;15
2014;Saint-Michel-Chef-Chef;44182;87
2015;Saint-Michel-Chef-Chef;44182;103
2011;Saint-Nicolas-de-Redon;44185;67
2013;Saint-Nicolas-de-Redon;44185;77
2013;Saint-Philbert-de-Grand-Lieu;44188;106
2010;Saint-Sébastien-sur-Loire;44190;358
2010;Saint-Sulpice-des-Landes;44191;11
2011;Saint-Vincent-des-Landes;44193;28
2011;Sainte-Pazanne;44186;74
2011;Savenay;44195;115
2012;Sévérac;44196;27
2013;Sévérac;44196;27
2014;Sion-les-Mines;44197;65
2013;Soudan;44199;27
2014;Soulvache;44200;17
2011;Sucé-sur-Erdre;44201;49
2014;Teillé;44202;26
2015;Teillé;44202;33
2010;Touvois;44206;16
2012;Trans-sur-Erdre;44207;14
2010;Vallet;44212;102
2013;Vallet;44212;127
2013;Vieillevigne;44216;48
2011;Vigneux-de-Bretagne;44217;44
2014;Vritz;44219;15
2013;Vritz;44219;18
2016;Batz-sur-Mer;44010;54
2016;Donges;44052;134
2016;Grandchamps-des-Fontaines;44066;27
2016;Indre;44074;71
2016;Juigné-des-Moutiers;44078;7
2016;La Chapelle-Saint-Sauveur;44034;12
2016;La Roche-Blanche;44222;5
2016;Le Temple-de-Bretagne;44203;7
2016;Lusanger;44086;22
2016;Massérac;44092;9
2016;Moisdon-la-Rivière;44099;34
2016;Orvault;44114;508
2016;Piriac-sur-Mer;44125;30
2016;Riaillé;44144;38
2016;Saint-Colomban;44155;16
2016;Saint-Julien-de-Vouvantes;44170;21
2016;Saint-Même-le-Tenu;44181;5
2016;Sucé-sur-Erdre;44201;54
2016;Vay;44214;16
2016;Vertou;44215;266
2017;Abbaretz;44001;22
2017;Carquefou;44026;175
2017;Casson;44027;8
2017;Châteaubriant;44036;400
2017;Corcoué-sur-Logne;44156;27
2017;Drefféac;44053;23
2017;Geneston;44223;13
2017;Grand-Auverné;44065;18
2017;Issé;44075;34
2017;La Chapelle-Launay;44033;13
2017;La Haie-Fouassière;44070;24
2017;La Regrippière;44140;11
2017;Le Loroux-Bottereau;44084;77
2017;Mésanger;44096;22
2017;Pontchâteau;44129;135
2017;Préfailles;44136;27
2017;Prinquiau;44137;11
2017;Riaillé;44144;41
2017;Rougé;44146;27
2017;Saint-Mars-la-Jaille;44180;66
2017;Treillières;44209;77
